ID,Job Position
chief-executive-officer,Chief Executive Officer
tech-adv-app-dev/db-data-admin,Tech Adv App Dev/DB Data Admin
statistical-research-coord,Statistical Research Coord
operations-liaison-officer,Operations Liaison Officer
team-leader-publication-coord,Team Leader Publication Coord
chief-bus-resumptn-planif-pol,Chief Bus Resumptn Planif pol
it-investigation-officer,IT Investigation Officer
senior-project-mgmt-advisor,Senior Project Mgmt Advisor
internal-audit-trainee,Internal Audit Trainee
financial-consultant,Financial Consultant
sr-paralegal/data-base-mgmt,Sr Paralegal/Data Base Mgmt
"officer,-scheduling","Officer, Scheduling"
"analyst,-research-and-policy","Analyst, Research and Policy"
"senior-manager,-apmpp","Senior Manager, APMPP"
gestionnaire-princ.-projet,Gestionnaire princ. projet
chief-monitoring-fin-controler,Chief Monitoring Fin Controler
"sr-advisor,-internal-comms","Sr Advisor, Internal Comms"
officer-im-qa,Officer IM QA
"admin-asst,-pers-secur-screen","Admin Asst, Pers Secur screen"
media-monitoring-analysis,Media Monitoring Analysis
junior-policy-officer,Junior Policy Officer
briefing-and-corresp.-officer,Briefing and Corresp. Officer
business-planning-officer,Business Planning Officer
strategic-services-officer,Strategic Services Officer
compensation-advisor,Compensation Advisor
"officer,-editing-services","Officer, Editing Services"
appeals-support-clerk,Appeals Support Clerk
business-continuity-plan-offcr,Business Continuity Plan Offcr
chief-system-ops-post-audit,Chief System Ops Post Audit
chief-fin-system-acc-recevable,Chief Fin System Acc Recevable
relocation-travel-advisor,Relocation Travel Advisor
quality-assurance-reviewer,Quality Assurance Reviewer
performance-measurement-lead,Performance Measurement Lead
production-editor,Production Editor
"member,-nat-poverty-council","Member, Nat Poverty Council"
program-analyst,Program Analyst
minister-exempt-staff,Minister Exempt Staff
team-leader-web-dev-research,Team Leader Web Dev Research
"asst,-project-office-support","Asst, Project Office Support"
"advisor,-project-services","Advisor, Project Services"
"manager,-hrsc","Manager, HRSC"
dg-acc-sec,DG Acc Sec
"hr-lead,-casdo","HR Lead, CASDO"
"sr-advisor,-infrastructure/ops","Sr Advisor, Infrastructure/Ops"
manager-financial-audit,Manager Financial Audit
quality-control-editor,Quality Control Editor
senior-analyst-web-analytics,Senior Analyst Web Analytics
chief-national-acc-operations,Chief National Acc Operations
director-expend-accounting,Director Expend Accounting
"advisor,-procurement","Advisor, Procurement"
comp-liason-program-officer,Comp Liason Program Officer
head-executive-services,Head Executive Services
asst.-mgr.-finance-&-admin.,Asst. Mgr. Finance & Admin.
scheduling-personnel-asst-dm,Scheduling Personnel Asst DM
strategic-dev-consultant,Strategic Dev Consultant
senior-editor/revisor,Senior Editor/Revisor
chief-parliamentary-affairs,Chief Parliamentary Affairs
multimedia-developer,Multimedia Developer
adv-div-off-lang-emp-equity,Adv Div Off Lang Emp Equity
"asst-dir,-centre-of-expertise","Asst Dir, Centre of Expertise"
sr.-adm,Sr. ADM
"sr-mgr,-information-management","Sr Mgr, Information Management"
business-systems-analyst,Business Systems Analyst
"officer,-anls-&-qual-control","Officer, Anls & Qual Control"
information-officer,Information Officer
"coord,-it-and-web-services","Coord, IT and Web Services"
"senior-manager,-bms","Senior Manager, BMS"
service-canada-benefits-offcr,Service Canada Benefits Offcr
director-corporate-services,Director Corporate Services
editorial-assistant,Editorial Assistant
business-expertise-manager,Business Expertise Manager
data-migration-transform-anlst,Data Migration Transform Anlst
forms-letters-dev-offcr,Forms Letters Dev Offcr
"dir,-compensation-services","Dir, Compensation Services"
policy-systems-analyst,Policy Systems Analyst
manager-business-analysis-supp,Manager Business Analysis Supp
sr-project-technical-officr,Sr Project Technical Officr
policy-planning-officer,Policy Planning Officer
client-support-officer,Client Support Officer
head-project-officer,Head Project Officer
technical-support-officer,Technical Support Officer
head-accounts-control,Head Accounts Control
admin-edp-support-assistant,Admin EDP Support Assistant
"team-leader,-data-systems","Team Leader, Data Systems"
im-qm-assistant,IM QM Assistant
administrative-advisor,Administrative Advisor
"asst.-dir,-policy-&-programs","Asst. Dir, Policy & Programs"
chief-management-services,Chief Management Services
sr-advisor,Sr Advisor
"senior-manager,-real-property","Senior Manager, Real Property"
paralegal-trainee,Paralegal Trainee
executive-assistant-to-the-dm,Executive Assistant to the DM
executive-office-manager,Executive Office Manager
atip-system-administration,ATIP System Administration
"officer,-parliamentary-affairs","Officer, Parliamentary Affairs"
assoc.-cio,Assoc. CIO
fswep-college,FSWEP College
manager-injury-comp-ops-serv,Manager Injury Comp Ops Serv
head-chief-program,Head Chief Program
director-labour-programs,Director Labour Programs
agent(e)-en-administration,Agent(e) en administration
nhq-security-&-safety-officer,NHQ Security & Safety Officer
mgr-governor-council-unit,Mgr Governor Council Unit
special-advisor-to-the-deputy-minister,Special Advisor to the Deputy Minister
fswep-university-undergraduate,FSWEP University Undergraduate
press-secretary,Press Secretary
director-of-communications,Director of Communications
insurance-program-manager,Insurance Program Manager
briefing-parliamentary-affair,Briefing Parliamentary Affair
ops-coach-quality-asst-offcr,Ops Coach Quality Asst Offcr
sr-business-expertise-manager,Sr Business Expertise Manager
junior-atip-analyst,Junior ATIP Analyst
manager-ministerial-correspd,Manager ministerial Correspd
"manager,-finances-and-dcfo","Manager, Finances and DCFO"
coordinator-executive-service,Coordinator Executive Service
internship-univ-undrgrad-prog,Internship Univ Undrgrad Prog
program-policy-officer,Program Policy Officer
senior-committee-advisor,Senior Committee Advisor
exec.-adv,Exec. Adv
department,Department
senior-administrative-officer,Senior Administrative Officer
scheduling-assistant-adm,Scheduling Assistant ADM
chief-staf,Chief Staf
"coach,-pay-centre-expertise","Coach, Pay Centre Expertise"
ed-imitsp,ED IMITSP
"project-ldr/tech-adv,-planning","Project Ldr/Tech Adv, Planning"
"manager,-planning","Manager, Planning"
junior-paralegal-officer,Junior Paralegal Officer
mgr-workplace-info-analysis,Mgr Workplace Info Analysis
transition-manager,Transition Manager
senior-integrity-serv-offcr,Senior Integrity Serv Offcr
regional-financial-advisor,Regional Financial Advisor
"team-leader,-client-services","Team Leader, Client Services"
technical-advisor-comp-ben,Technical Advisor Comp Ben
"manager,-compensation-benefits","Manager, Compensation Benefits"
compensation-team-leader,Compensation Team Leader
human-resources-data-officer,Human Resources Data Officer
"team-leader,-hrsc","Team Leader, HRSC"
intern-integrty-secur-sr-offcr,Intern Integrty Secur Sr Offcr
hr-officer,HR officer
"advisor,-ohs","Advisor, OHS"
"senior-advisor,-ohs","Senior Advisor, OHS"
"assist,-health-&-safety-prog.","Assist, Health & Safety Prog."
ohs-coordinator,OHS Coordinator
"business-adv,-bus.-anls-serv","Business Adv, Bus. Anls Serv"
partnership-dev-officer,Partnership Dev Officer
"dir,-app-dev/db-&-data-admin","Dir, App Dev/DB & Data Admin"
tech-debt,Tech Debt
"dir,-infrastructure/operations","Dir, Infrastructure/Operations"
ed-pa&e,ED PA&E
"director,-spfs","Director, SPFS"
"officer,-it-and-web-services","Officer, IT and Web Services"
registrar,Registrar
legal-advisor,Legal Advisor
msscr00,MSSCR00
communications-marketing-mgr,Communications Marketing Mgr
learning-admin-assistant,Learning Admin Assistant
offcr-traing-cont-learng-ops,Offcr Traing Cont Learng Ops
"coord,ops-traing-contin-learng","Coord,Ops Traing contin Learng"
team-leader-chief-hr,Team Leader Chief HR
compensation-and-benefits-asst,Compensation And Benefits Asst
loans-payment-officer,Loans Payment Officer
network-technician,Network Technician
"coordinator,executive-services","Coordinator,Executive Services"
project-administration-officer,Project Administration Officer
user-experience-qa-analyst,User Experience QA Analyst
finance-intrn-control-officer,Finance Intrn Control Officer
"director,-centre-of-expertise","Director, Centre of Expertise"
financial-auditor,Financial Auditor
director-health-safety,Director Health Safety
manager-executive-committees,Manager Executive Committees
recruitment-program-officer,Recruitment Program Officer
chief-ei-accounting,Chief EI Accounting
manager-facilities-management,Manager Facilities Management
"mgr,-planning-&-administration","Mgr, Planning & Administration"
team-leader-sites-management,Team Leader Sites Management
chief-public-accnt-procedure,Chief Public Accnt Procedure
records-administrator,Records Administrator
financial-senior-auditor,Financial Senior Auditor
team-ldr-correspd-editing-serv,Team Ldr Correspd Editing Serv
chief,Chief
project-manager-unit-head,Project Manager Unit Head
moving-officer,Moving Officer
dir,Dir
medical-adjudicator,Medical Adjudicator
